Page,date,value
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-10,1243
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-11,947
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-12,1061
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-13,558
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-14,503
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-15,552
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-16,684
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-17,484
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-18,512
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-19,481
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-20,433
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-21,364
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-22,406
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-23,457
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-24,403
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-25,369
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-26,514
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-27,535
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-28,488
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-29,649
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-30,642
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-08-31,613
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-01,819
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-02,6870
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-03,3480
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-04,986
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-05,675
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-06,537
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-07,531
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-08,8621
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-09,8691
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-10,5411
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-11,2707
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-12,1382
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-13,772
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-14,653
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-15,696
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-16,636
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-17,600
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-18,560
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-19,472
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-20,437
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-21,425
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-22,401
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-23,350
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-24,350
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-25,340
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-26,298
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-27,543
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-28,537
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-29,1183
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-09-30,1195
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-01,428
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-02,368
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-03,331
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-04,354
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-05,373
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-06,383
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-07,384
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-08,365
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-09,410
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-10,319
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-11,384
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-12,376
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-13,599
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-14,1062
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-15,588
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-16,411
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-17,318
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-18,302
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-19,381
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-20,377
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-21,432
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-22,515
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-23,2168
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-24,1629
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-25,556
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-26,513
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-27,451
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-28,482
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-29,416
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-30,351
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-10-31,304
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-01,275
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-02,401
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-03,363
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-04,405
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-05,378
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-06,286
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-07,334
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-08,438
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-09,390
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-10,417
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-11,378
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-12,376
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-13,362
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-14,368
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-15,421
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-16,384
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-17,390
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-18,386
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-19,408
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-20,341
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-21,877
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-22,352
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-23,371
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-24,513
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-25,652
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-26,471
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-27,456
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-28,455
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-29,821
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-11-30,4717
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-01,3748
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-02,3220
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-03,1727
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-04,982
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-05,1200
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-06,745
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-07,1458
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-08,890
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-09,1627
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-10,1355
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-11,971
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-12,1304
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-13,660
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-14,1725
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-15,5014
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-16,25435
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-17,27221
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-18,4434
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-19,1949
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-20,1373
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-21,972
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-22,1190
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-23,845
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-24,562
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-25,580
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-26,617
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-27,684
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-28,688
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-29,1610
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-30,1197
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2015-12-31,816
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-01,1188
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-02,922
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-03,564
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-04,589
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-05,627
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-06,760
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-07,870
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-08,577
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-09,439
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-10,546
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-11,1184
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-12,624
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-13,484
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-14,422
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-15,444
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-16,541
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-17,614
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-18,956
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-19,1087
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-20,3514
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-21,645
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-22,452
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-23,442
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-24,419
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-25,454
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-26,372
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-27,385
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-28,460
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-29,357
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-30,1864
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-01-31,452
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-01,471
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-02,795
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-03,482
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-04,487
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-05,371
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-06,454
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-07,580
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-08,567
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-09,481
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-10,477
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-11,452
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-12,503
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-13,773
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-14,451
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-15,526
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-16,449
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-17,432
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-18,571
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-19,906
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-20,559
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-21,546
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-22,448
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-23,458
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-24,520
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-25,869
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-26,883
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-27,718
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-28,676
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-02-29,550
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-01,498
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-02,488
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-03,582
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-04,516
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-05,373
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-06,434
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-07,425
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-08,1911
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-09,1045
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-10,427
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-11,441
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-12,420
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-13,386
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-14,442
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-15,384
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-16,426
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-17,438
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-18,401
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-19,327
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-20,354
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-21,339
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-22,342
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-23,338
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-24,362
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-25,313
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-26,342
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-27,394
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-28,409
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-29,354
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-30,452
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-03-31,533
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-01,458
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-02,378
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-03,476
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-04,460
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-05,505
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-06,513
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-07,503
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-08,527
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-09,448
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-10,498
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-11,474
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-12,844
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-13,640
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-14,841
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-15,624
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-16,518
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-17,523
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-18,649
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-19,1345
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-20,1013
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-21,1631
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-22,1799
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-23,1263
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-24,1620
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-25,1866
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-26,1431
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-27,1206
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-28,1379
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-29,939
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-04-30,1282
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-01,893
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-02,765
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-03,651
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-04,608
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-05,524
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-06,504
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-07,521
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-08,542
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-09,533
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-10,886
Death_of_Freddie_Gray_en.wikipedia.org_mobile-web_all-agents,2016-05-11,810
