order_id,order_line,order_date,quantity,price,total_price,model,category_1,category_2,frame_material,bikeshop_name,city,state
7,4,2011-01-12,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
7,5,2011-01-12,1,2340,2340,Habit 5,Mountain,Trail,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
7,6,2011-01-12,1,12790,12790,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
7,7,2011-01-12,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
7,8,2011-01-12,1,9060,9060,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
7,9,2011-01-12,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
7,10,2011-01-12,2,1410,2820,CAAD8 105,Road,Elite Road,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
7,11,2011-01-12,1,480,480,Catalyst 3,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
7,12,2011-01-12,1,1950,1950,Slice 105,Road,Triathalon,Carbon,Minneapolis Bike Shop,Minneapolis,MN
7,13,2011-01-12,1,9060,9060,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
7,14,2011-01-12,2,815,1630,Trail 5,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
8,1,2011-01-12,1,1250,1250,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
8,2,2011-01-12,3,480,1440,Catalyst 3,Mountain,Sport,Aluminum,Phoenix Bi-peds,Phoenix,AZ
9,1,2011-01-17,1,2660,2660,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,New Orleans Velocipedes,New Orleans,LA
9,2,2011-01-17,2,3200,6400,CAAD12 Red,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
9,3,2011-01-17,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
9,4,2011-01-17,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
9,5,2011-01-17,5,1030,5150,Synapse Sora,Road,Endurance Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
10,1,2011-01-17,1,1250,1250,CAAD8 Tiagra,Road,Elite Road,Aluminum,Portland Bi-peds,Portland,OR
11,1,2011-01-18,1,5860,5860,CAAD12 Black Inc,Road,Elite Road,Aluminum,San Francisco Cruisers,San Francisco,CA
11,2,2011-01-18,2,3200,6400,CAAD12 Red,Road,Elite Road,Aluminum,San Francisco Cruisers,San Francisco,CA
11,3,2011-01-18,1,1840,1840,Supersix Evo Tiagra,Road,Elite Road,Carbon,San Francisco Cruisers,San Francisco,CA
11,4,2011-01-18,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,San Francisco Cruisers,San Francisco,CA
11,5,2011-01-18,1,7460,7460,Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,San Francisco Cruisers,San Francisco,CA
11,6,2011-01-18,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,San Francisco Cruisers,San Francisco,CA
11,7,2011-01-18,1,3500,3500,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,San Francisco Cruisers,San Francisco,CA
12,1,2011-01-20,2,3730,7460,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,2,2011-01-20,1,3840,3840,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,Louisville Race Equipment,Louisville,KY
12,3,2011-01-20,1,9060,9060,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
12,4,2011-01-20,1,5860,5860,CAAD12 Black Inc,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
12,5,2011-01-20,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,6,2011-01-20,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,Louisville Race Equipment,Louisville,KY
12,7,2011-01-20,1,3200,3200,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,8,2011-01-20,1,1840,1840,Syapse Carbon Tiagra,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,9,2011-01-20,1,9590,9590,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,10,2011-01-20,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
12,11,2011-01-20,1,2660,2660,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,12,2011-01-20,1,5330,5330,Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
12,13,2011-01-20,1,2240,2240,Synapse Carbon 105,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
12,14,2011-01-20,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
12,15,2011-01-20,1,3200,3200,Slice Ultegra D12,Road,Triathalon,Carbon,Louisville Race Equipment,Louisville,KY
12,16,2011-01-20,3,1840,5520,Supersix Evo Tiagra,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
12,17,2011-01-20,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Louisville Race Equipment,Louisville,KY
12,18,2011-01-20,1,2660,2660,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
12,19,2011-01-20,1,7460,7460,Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
13,1,2011-01-20,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,Nashville Cruisers,Nashville,TN
13,2,2011-01-20,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,Nashville Cruisers,Nashville,TN
14,1,2011-01-24,1,2340,2340,Habit 5,Mountain,Trail,Aluminum,Albuquerque Cycles,Albuquerque,NM
14,2,2011-01-24,1,2770,2770,Beast of the East 1,Mountain,Trail,Aluminum,Albuquerque Cycles,Albuquerque,NM
14,3,2011-01-24,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Albuquerque Cycles,Albuquerque,NM
15,1,2011-01-25,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
15,2,2011-01-25,1,1250,1250,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,3,2011-01-25,3,3200,9600,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,4,2011-01-25,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
15,5,2011-01-25,1,1250,1250,CAAD8 Tiagra,Road,Elite Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,6,2011-01-25,2,4480,8960,Habit Carbon SE,Mountain,Trail,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
15,7,2011-01-25,1,1350,1350,Trail 2,Mountain,Sport,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,8,2011-01-25,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,9,2011-01-25,1,12790,12790,Supersix Evo Black Inc.,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
15,10,2011-01-25,1,1950,1950,Habit 6,Mountain,Trail,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
15,11,2011-01-25,1,2450,2450,SuperX Ultegra,Road,Cyclocross,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
15,12,2011-01-25,2,9590,19180,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
16,1,2011-01-25,4,1840,7360,F-Si 3,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,2,2011-01-25,1,1080,1080,Trail 3,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,3,2011-01-25,1,585,585,Catalyst 2,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,4,2011-01-25,1,705,705,Catalyst 1,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,5,2011-01-25,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
16,6,2011-01-25,1,2060,2060,F-Si 2,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,7,2011-01-25,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
16,8,2011-01-25,2,3840,7680,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,Minneapolis Bike Shop,Minneapolis,MN
17,1,2011-01-26,1,7000,7000,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,Cincinnati Speed,Cincinnati,OH
18,1,2011-01-28,1,815,815,CAAD8 Claris,Road,Elite Road,Aluminum,Denver Bike Shop,Denver,CO
18,2,2011-01-28,1,4260,4260,Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,Denver Bike Shop,Denver,CO
19,1,2011-01-28,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
19,2,2011-01-28,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
20,1,2011-01-28,1,2240,2240,Supersix Evo 105,Road,Elite Road,Carbon,Kansas City 29ers,Kansas City,KS
20,2,2011-01-28,1,2660,2660,CAAD Disc Ultegra,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
20,3,2011-01-28,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Kansas City 29ers,Kansas City,KS
20,4,2011-01-28,1,3730,3730,Habit Carbon 3,Mountain,Trail,Carbon,Kansas City 29ers,Kansas City,KS
20,5,2011-01-28,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
20,6,2011-01-28,1,3730,3730,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,Kansas City 29ers,Kansas City,KS
20,7,2011-01-28,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
20,8,2011-01-28,1,1620,1620,Beast of the East 3,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
20,9,2011-01-28,1,2130,2130,Beast of the East 2,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
21,1,2011-02-01,1,8200,8200,Trigger Carbon 1,Mountain,Over Mountain,Carbon,Las Vegas Cycles,Las Vegas,NV
21,2,2011-02-01,4,7990,31960,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Las Vegas Cycles,Las Vegas,NV
21,3,2011-02-01,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles,Las Vegas,NV
21,4,2011-02-01,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Las Vegas Cycles,Las Vegas,NV
21,5,2011-02-01,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Las Vegas Cycles,Las Vegas,NV
22,1,2011-02-01,2,2130,4260,Synapse Disc Adventure,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
22,2,2011-02-01,1,1030,1030,Synapse Sora,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
22,3,2011-02-01,1,3730,3730,Fat CAAD1,Mountain,Fat Bike,Aluminum,Seattle Race Equipment,Seattle,WA
22,4,2011-02-01,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Seattle Race Equipment,Seattle,WA
22,5,2011-02-01,3,2340,7020,Habit 5,Mountain,Trail,Aluminum,Seattle Race Equipment,Seattle,WA
22,6,2011-02-01,1,5860,5860,Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon,Seattle Race Equipment,Seattle,WA
22,7,2011-02-01,2,3500,7000,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,Seattle Race Equipment,Seattle,WA
22,8,2011-02-01,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Seattle Race Equipment,Seattle,WA
22,9,2011-02-01,1,3200,3200,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,Seattle Race Equipment,Seattle,WA
22,10,2011-02-01,2,1840,3680,Supersix Evo Tiagra,Road,Elite Road,Carbon,Seattle Race Equipment,Seattle,WA
23,1,2011-02-04,1,6070,6070,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,Denver Bike Shop,Denver,CO
23,2,2011-02-04,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Denver Bike Shop,Denver,CO
23,3,2011-02-04,1,980,980,Trail 4,Mountain,Sport,Aluminum,Denver Bike Shop,Denver,CO
23,4,2011-02-04,1,2660,2660,Synapse Carbon Disc 105,Road,Endurance Road,Carbon,Denver Bike Shop,Denver,CO
23,5,2011-02-04,1,1950,1950,Slice 105,Road,Triathalon,Carbon,Denver Bike Shop,Denver,CO
24,1,2011-02-07,1,3200,3200,Slice Ultegra D12,Road,Triathalon,Carbon,Ann Arbor Speed,Ann Arbor,MI
24,2,2011-02-07,7,2660,18620,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
24,3,2011-02-07,3,10660,31980,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
24,4,2011-02-07,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
24,5,2011-02-07,1,3940,3940,Supersix Evo Red,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
24,6,2011-02-07,1,1840,1840,F-Si 3,Mountain,Cross Country Race,Aluminum,Ann Arbor Speed,Ann Arbor,MI
24,7,2011-02-07,2,1950,3900,Slice 105,Road,Triathalon,Carbon,Ann Arbor Speed,Ann Arbor,MI
24,8,2011-02-07,1,415,415,Catalyst 4,Mountain,Sport,Aluminum,Ann Arbor Speed,Ann Arbor,MI
24,9,2011-02-07,1,980,980,Trail 4,Mountain,Sport,Aluminum,Ann Arbor Speed,Ann Arbor,MI
24,10,2011-02-07,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
24,11,2011-02-07,1,4260,4260,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,Ann Arbor Speed,Ann Arbor,MI
25,1,2011-02-07,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Albuquerque Cycles,Albuquerque,NM
25,2,2011-02-07,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Albuquerque Cycles,Albuquerque,NM
25,3,2011-02-07,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Albuquerque Cycles,Albuquerque,NM
26,1,2011-02-09,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Columbus Race Equipment,Columbus,OH
27,1,2011-02-10,1,2660,2660,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,Kansas City 29ers,Kansas City,KS
27,2,2011-02-10,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
27,3,2011-02-10,1,1030,1030,CAAD8 Sora,Road,Elite Road,Aluminum,Kansas City 29ers,Kansas City,KS
27,4,2011-02-10,2,980,1960,Trail 4,Mountain,Sport,Aluminum,Kansas City 29ers,Kansas City,KS
27,5,2011-02-10,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Kansas City 29ers,Kansas City,KS
27,6,2011-02-10,1,2880,2880,F-Si Carbon 4,Mountain,Cross Country Race,Carbon,Kansas City 29ers,Kansas City,KS
27,7,2011-02-10,3,1620,4860,Beast of the East 3,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
27,8,2011-02-10,1,1520,1520,Trail 1,Mountain,Sport,Aluminum,Kansas City 29ers,Kansas City,KS
27,9,2011-02-10,1,2660,2660,Bad Habit 2,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
27,10,2011-02-10,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Kansas City 29ers,Kansas City,KS
27,11,2011-02-10,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Kansas City 29ers,Kansas City,KS
27,12,2011-02-10,2,3200,6400,Slice Ultegra D12,Road,Triathalon,Carbon,Kansas City 29ers,Kansas City,KS
28,1,2011-02-10,1,7990,7990,Jekyll Carbon 1,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,2,2011-02-10,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,3,2011-02-10,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,4,2011-02-10,1,415,415,Catalyst 4,Mountain,Sport,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,5,2011-02-10,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,6,2011-02-10,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,7,2011-02-10,1,6390,6390,Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,8,2011-02-10,1,1520,1520,Trail 1,Mountain,Sport,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,9,2011-02-10,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,10,2011-02-10,1,2060,2060,F-Si 2,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,11,2011-02-10,1,3940,3940,Supersix Evo Red,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,12,2011-02-10,1,5330,5330,Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,13,2011-02-10,1,2130,2130,Fat CAAD2,Mountain,Fat Bike,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,14,2011-02-10,1,7000,7000,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,15,2011-02-10,1,6390,6390,Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,16,2011-02-10,1,4260,4260,Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,17,2011-02-10,1,5970,5970,Trigger Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
28,18,2011-02-10,2,4260,8520,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
28,19,2011-02-10,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
29,1,2011-02-11,1,3200,3200,Bad Habit 1,Mountain,Trail,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
29,2,2011-02-11,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
29,3,2011-02-11,1,11190,11190,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Ithaca Mountain Climbers,Ithaca,NY
29,4,2011-02-11,1,3200,3200,Trigger Carbon 4,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
29,5,2011-02-11,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Ithaca Mountain Climbers,Ithaca,NY
30,1,2011-02-14,3,2240,6720,Supersix Evo 105,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
30,2,2011-02-14,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
31,1,2011-02-15,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
31,2,2011-02-15,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Ithaca Mountain Climbers,Ithaca,NY
31,3,2011-02-15,1,7460,7460,Habit Carbon 1,Mountain,Trail,Carbon,Ithaca Mountain Climbers,Ithaca,NY
31,4,2011-02-15,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
32,1,2011-02-15,2,1250,2500,CAAD8 Tiagra,Road,Elite Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,2,2011-02-15,1,1960,1960,SuperX 105,Road,Cyclocross,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,3,2011-02-15,1,3730,3730,Trigger Carbon 3,Mountain,Over Mountain,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,4,2011-02-15,1,1570,1570,Synapse Disc 105,Road,Endurance Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,5,2011-02-15,1,2340,2340,F-Si 1,Mountain,Cross Country Race,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,6,2011-02-15,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,7,2011-02-15,1,3200,3200,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,8,2011-02-15,2,4260,8520,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,9,2011-02-15,6,2130,12780,Fat CAAD2,Mountain,Fat Bike,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,10,2011-02-15,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,11,2011-02-15,1,2770,2770,Beast of the East 1,Mountain,Trail,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,12,2011-02-15,3,2660,7980,Bad Habit 2,Mountain,Trail,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,13,2011-02-15,1,2450,2450,SuperX Ultegra,Road,Cyclocross,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,14,2011-02-15,1,9060,9060,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,15,2011-02-15,1,1080,1080,Trail 3,Mountain,Sport,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,16,2011-02-15,1,4260,4260,Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,17,2011-02-15,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,18,2011-02-15,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,19,2011-02-15,1,1750,1750,SuperX Rival CX1,Road,Cyclocross,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,20,2011-02-15,3,7460,22380,Habit Carbon 1,Mountain,Trail,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,21,2011-02-15,2,1840,3680,F-Si 3,Mountain,Cross Country Race,Aluminum,Phoenix Bi-peds,Phoenix,AZ
32,22,2011-02-15,1,3730,3730,Habit Carbon 3,Mountain,Trail,Carbon,Phoenix Bi-peds,Phoenix,AZ
32,23,2011-02-15,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
33,1,2011-02-15,2,415,830,Catalyst 4,Mountain,Sport,Aluminum,Denver Bike Shop,Denver,CO
